name,amount,deadline,description,tags,eligibility,url,source
Udall Undergraduate Scholarship,$7000,2025-03-01,Scholarship for college sophomores and juniors committed to careers related to the environment tribal public policy or Native health care.,undergraduate;environmental;public-policy;health;leadership,Native American or Alaska Native;Sophomore or junior;Career commitment to Native communities,https://www.udall.gov/OurPrograms/NativeAmericanScholarship/NativeAmericanScholarship.aspx,Udall Foundation
Morris K. Udall and Stewart L. Udall Foundation Native American Congressional Internship,$1200/month,2025-02-15,Paid internship for Native American and Alaska Native students to work in congressional offices and experience the legislative process.,internship;public-policy;government;leadership,Native American or Alaska Native;College student or recent graduate,https://www.udall.gov/OurPrograms/CongressionalInternship/CongressionalInternship.aspx,Udall Foundation
Intertribal Timber Council Education Scholarship,$2000 - $3000,2025-03-15,Scholarships for Native American students pursuing careers in natural resources forestry and related fields.,forestry;natural-resources;environmental;undergraduate;graduate,Enrolled tribal member;Natural resources major;Academic achievement,https://www.itcnet.org/about_us/scholarships.html,Intertribal Timber Council
Minnesota Indian Scholarship,$4000 - $6000,2025-07-01,Scholarships for Minnesota resident Native American students attending Minnesota colleges and universities.,state;undergraduate;graduate,Minnesota resident;At least 25% Native American;Financial need,https://www.ohe.state.mn.us/mPg.cfm?pageID=144,Minnesota Office of Higher Education
Daughters of the American Revolution American Indian Scholarship,$4000,,Scholarships for Native American students of any age any tribe pursuing undergraduate or graduate degrees.,undergraduate;graduate,Native American heritage;Enrolled or accepted at accredited college,https://www.dar.org/national-society/scholarships/american-indian,Daughters of the American Revolution
NAPAFASA Scholarships,$500 - $2000,2025-03-31,Scholarships for Native American students involved in performing and visual arts.,arts;performing-arts;visual-arts;undergraduate,Native American heritage;Pursuing arts degree or career,https://napafasa.org,Native American Performing Arts Foundation and Scholarship Association
National Society of High School Scholars Indigenous Scholars Award,$2000,2025-05-01,Awards recognizing academic excellence and leadership for Native American high school students.,high-school;academic-excellence;leadership,Native American heritage;NSHSS member;Minimum 3.5 GPA,https://www.nshss.org/scholarships/,National Society of High School Scholars
Adobe Research Women-in-Technology Scholarship,$10000,2025-07-31,Scholarship for women including Native American women pursuing computer science or related technical degrees.,women;STEM;technology;computer-science;undergraduate;graduate,Female;Underrepresented minority;Computer science major,https://research.adobe.com/scholarship/,Adobe
Google Lime Scholarship,$10000,2025-12-15,Scholarships for students with disabilities including Native American students pursuing computer science or related degrees.,disability;STEM;computer-science;undergraduate;graduate,Student with disability;Computer science major;Academic achievement,https://www.limeconnect.com/programs/page/google-lime-scholarship,Google and Lime Connect
Jackie Robinson Foundation Scholarship,$30000 over 4 years,2025-02-01,Four-year scholarship for minority students including Native Americans demonstrating leadership excellence and financial need.,undergraduate;leadership;need-based;multi-year,Minority student;Demonstrate leadership;Financial need;Minimum 3.0 GPA,https://www.jackierobinson.org/apply/,Jackie Robinson Foundation
United South and Eastern Tribes Scholarship,$500 - $1500,2025-04-30,Scholarships for members of USET member tribes pursuing higher education.,tribal;undergraduate;graduate,Member of USET member tribe,https://www.usetinc.org/services/scholarship-opportunities/,United South and Eastern Tribes
Northwest Indian College Foundation Scholarship,Varies,2025-06-01,Scholarships for students attending Northwest Indian College.,tribal-college;undergraduate,Enrolled at Northwest Indian College,https://www.nwic.edu/foundation/scholarships/,Northwest Indian College
Haskell Indian Nations University Scholarships,Varies,,Various scholarships for students attending Haskell Indian Nations University.,tribal-college;undergraduate,Native American heritage;Enrolled at Haskell,https://www.haskell.edu/financial-aid/scholarships/,Haskell Indian Nations University
Institute of American Indian Arts Foundation Scholarships,Varies,2025-05-15,Scholarships for students attending IAIA focusing on Native arts and culture.,arts;tribal-college;undergraduate;graduate,Enrolled at IAIA;Pursuing arts degree,https://iaia.edu/admissions/financial-aid/,Institute of American Indian Arts
Muscogee (Creek) Nation Higher Education Scholarship,Varies,Rolling,Comprehensive scholarship program for Muscogee Creek Nation citizens.,tribal;undergraduate;graduate;rolling-deadline,Muscogee Creek Nation citizen;Enrolled at accredited institution,https://www.mcn-nsn.gov/services/education/higher-education/,Muscogee (Creek) Nation
Chickasaw Nation Education Scholarship,Varies,Rolling,Multiple scholarship programs for Chickasaw Nation citizens at all education levels.,tribal;K-12;undergraduate;graduate;vocational;rolling-deadline,Chickasaw Nation citizen,https://www.chickasaw.net/Services/Education/Higher-Education.aspx,Chickasaw Nation
Choctaw Nation Higher Education Program,Varies,Rolling,Financial assistance for Choctaw Nation members pursuing higher education.,tribal;undergraduate;graduate;vocational;rolling-deadline,Choctaw Nation member;Enrolled at accredited institution,https://www.choctawnation.com/services/education/,Choctaw Nation of Oklahoma
Seminole Tribe of Florida Higher Education Scholarship,Varies,,Scholarships for Seminole Tribe of Florida members pursuing post-secondary education.,tribal;undergraduate;graduate,Seminole Tribe of Florida member,https://www.semtribe.com/stof/education/higher-education,Seminole Tribe of Florida
Osage Nation Education Scholarship,Varies,Rolling,Comprehensive education assistance for Osage Nation members.,tribal;K-12;undergraduate;graduate;rolling-deadline,Osage Nation member,https://www.osagenation-nsn.gov/what-we-do/education-department,Osage Nation
Pueblo of Laguna Education Department Scholarships,Varies,,Educational assistance for Laguna Pueblo members.,tribal;undergraduate;graduate,Laguna Pueblo member,https://www.lagunapueblo-nsn.gov/departments/education/,Pueblo of Laguna
Standing Rock Sioux Tribe Education Scholarship,Varies,,Scholarships for Standing Rock Sioux Tribe members pursuing higher education.,tribal;undergraduate;graduate,Standing Rock Sioux Tribe member,https://www.standingrock.org/content/education,Standing Rock Sioux Tribe
Seneca Nation Higher Education Program,Varies,Rolling,Educational grants and scholarships for Seneca Nation citizens.,tribal;undergraduate;graduate;vocational;rolling-deadline,Seneca Nation citizen,https://sni.org/government/departments/education/higher-education/,Seneca Nation of Indians
Oneida Nation Higher Education Grant,Varies,,Financial assistance for Oneida Nation members pursuing post-secondary education.,tribal;undergraduate;graduate,Oneida Nation member,https://oneida-nsn.gov/resources/higher-education/,Oneida Nation
Eastern Band of Cherokee Indians Scholarship,Varies,Rolling,Comprehensive scholarship program for EBCI members.,tribal;undergraduate;graduate;vocational;rolling-deadline,EBCI member;Enrolled at accredited institution,https://ebci.com/education/higher-education/,Eastern Band of Cherokee Indians
Ak-Chin Indian Community Scholarship,Varies,,Educational assistance for Ak-Chin Indian Community members.,tribal;undergraduate;graduate,Ak-Chin Indian Community member,https://www.ak-chin.nsn.us/departments/education/,Ak-Chin Indian Community
Gila River Indian Community Scholarship,Varies,,Scholarships and grants for Gila River Indian Community members.,tribal;undergraduate;graduate,Gila River Indian Community member,https://www.gilariver.org/index.php/services/education,Gila River Indian Community
Sault Ste. Marie Tribe of Chippewa Indians Higher Education Program,Varies,Rolling,Educational grants for Sault Tribe members pursuing higher education.,tribal;undergraduate;graduate;vocational;rolling-deadline,Sault Tribe member,https://www.saulttribe.com/membership-services/education,Sault Ste. Marie Tribe of Chippewa Indians
Blackfeet Nation Higher Education Grant,Varies,Rolling,Educational assistance for Blackfeet Nation members.,tribal;undergraduate;graduate;rolling-deadline,Blackfeet Nation member,https://blackfeetnation.com/education/,Blackfeet Nation
Citizen Potawatomi Nation Scholarship,Varies,Rolling,Scholarships for Citizen Potawatomi Nation members at all education levels.,tribal;K-12;undergraduate;graduate;rolling-deadline,Citizen Potawatomi Nation member,https://www.potawatomi.org/services/education/,Citizen Potawatomi Nation
Confederated Tribes of Warm Springs Education Scholarship,Varies,,Educational grants and scholarships for Warm Springs members.,tribal;undergraduate;graduate,Warm Springs member,https://warmsprings-nsn.gov/education/,Confederated Tribes of Warm Springs
Lummi Nation Higher Education Scholarship,Varies,,Financial assistance for Lummi Nation members pursuing higher education.,tribal;undergraduate;graduate,Lummi Nation member,https://www.lummi-nsn.gov/website/dept_pages/view/38,Lummi Nation
Native American Journalist Association Scholarships,$2500 - $5000,2025-04-15,Scholarships for Native American students pursuing journalism and communications degrees.,journalism;communications;media;undergraduate;graduate,Native American heritage;Journalism or communications major;Academic achievement,https://najanewsroom.com/scholarship/,Native American Journalists Association
American Meteorological Society Minority Scholarship,$3000 - $5000,2025-02-01,Scholarships for underrepresented minority students including Native Americans pursuing atmospheric sciences.,STEM;atmospheric-science;meteorology;undergraduate,Minority student;Atmospheric sciences major;Academic achievement,https://www.ametsoc.org/index.cfm/ams/information-for/students/ams-scholarships-and-fellowships/,American Meteorological Society
Society of American Indian Government Employees Scholarship,$1000,2025-04-30,Scholarships for Native American students pursuing degrees relevant to government service.,public-service;government;undergraduate;graduate,Native American heritage;Relevant degree program,https://www.saige.org/scholarships,Society of American Indian Government Employees
National Action Council for Minorities in Engineering Scholarship,Varies,2025-03-01,Scholarships for underrepresented minority students including Native Americans pursuing engineering degrees.,STEM;engineering;undergraduate,Minority student;Engineering major;Academic achievement,https://www.nacme.org/scholarships,National Action Council for Minorities in Engineering
Society of Women Engineers Scholarship,$1000 - $15000,2025-02-15,Scholarships for women including Native American women pursuing engineering and technology degrees.,women;STEM;engineering;technology;undergraduate;graduate,Female;Engineering or technology major;Academic achievement,https://societyofwomenengineers.swe.org/scholarships,Society of Women Engineers
American Indian Education Foundation Scholarship,$2000,2025-04-01,Scholarships for Native American undergraduate and graduate students demonstrating academic achievement and commitment to community.,undergraduate;graduate;community-service,Enrolled member of federally recognized tribe;Minimum 2.5 GPA;Community involvement,https://www.aiefprogram.org/scholarships,American Indian Education Foundation
Burlington Northern Santa Fe Foundation Scholarship,$2500 - $5000,2025-03-31,Scholarships for Native American high school seniors from specific states served by BNSF Railway pursuing degrees in business education engineering science and health.,high-school;STEM;business;education,High school senior;Reside in BNSF service area;Enrolled tribal member;Pursuing specific degree,https://www.aiefprogram.org/scholarships,Burlington Northern Santa Fe Foundation
Pueblo of Acoma Scholarship,Varies,,Educational assistance for Acoma Pueblo members.,tribal;undergraduate;graduate,Acoma Pueblo member,https://www.acomaskycity.org/education/,Pueblo of Acoma
San Carlos Apache Tribe Higher Education Scholarship,Varies,,Scholarships and grants for San Carlos Apache Tribe members.,tribal;undergraduate;graduate,San Carlos Apache Tribe member,https://www.scat-nsn.gov/education/,San Carlos Apache Tribe
White Mountain Apache Tribe Scholarship,Varies,,Educational assistance for White Mountain Apache Tribe members.,tribal;undergraduate;graduate,White Mountain Apache Tribe member,https://www.wmat.us/departments/education/,Fort Apache Indian Reservation (White Mountain Apache)
Confederated Salish and Kootenai Tribes Education Scholarship,Varies,Rolling,Comprehensive education program for CSKT members.,tribal;undergraduate;graduate;vocational;rolling-deadline,CSKT member,https://www.csktribes.org/education,Confederated Salish and Kootenai Tribes
Yakama Nation Higher Education Scholarship,Varies,,Educational grants for Yakama Nation members.,tribal;undergraduate;graduate,Yakama Nation member,https://www.yakamanation-nsn.gov/services/education/,Yakama Nation
Nez Perce Tribe Education Scholarship,Varies,,Scholarships and grants for Nez Perce Tribe members.,tribal;undergraduate;graduate,Nez Perce Tribe member,https://nezperce.org/departments/education/,Nez Perce Tribe
Oglala Lakota College Scholarships,Varies,,Various scholarships for students attending Oglala Lakota College.,tribal-college;undergraduate,Enrolled at Oglala Lakota College,https://www.olc.edu/financial-aid/scholarships/,Oglala Lakota College
Sitting Bull College Scholarships,Varies,,Scholarships for students attending Sitting Bull College.,tribal-college;undergraduate,Enrolled at Sitting Bull College,https://www.sittingbull.edu/financial-aid/scholarships/,Sitting Bull College
Fond du Lac Tribal and Community College Scholarships,Varies,,Various scholarships for FDLTCC students.,tribal-college;undergraduate,Enrolled at FDLTCC,https://fdltcc.edu/admissions-aid/financial-aid/scholarships/,Fond du Lac Tribal and Community College
Association on American Indian Affairs Scholarships,$1500 - $2500,2025-05-31,Multiple scholarships for Native American undergraduate and graduate students in various fields.,undergraduate;graduate,Native American heritage;Enrolled at accredited institution;Academic achievement,https://www.indian-affairs.org/scholarships.html,Association on American Indian Affairs
Native American Finance Officers Association Scholarship,$1000 - $3000,2025-04-01,Scholarships for Native American students pursuing degrees in accounting finance business or related fields.,business;accounting;finance;undergraduate;graduate,Native American heritage;Pursuing relevant degree;Academic achievement,https://www.nafoa.org/scholarship,Native American Finance Officers Association
First Nations Development Institute Scholarship,Varies,2025-03-15,Scholarships supporting Native American students in business entrepreneurship and community development fields.,business;entrepreneurship;community-development;undergraduate;graduate,Native American heritage;Relevant degree program;Community commitment,https://www.firstnations.org/rfps/scholarships/,First Nations Development Institute
American Indian Graduate Center Fellows Program,$1000 - $5000,2025-04-15,Fellowships for Native American graduate students pursuing advanced degrees.,graduate;masters;PhD;fellowship,Native American heritage;Enrolled in graduate program;Academic excellence,https://www.aigcs.org/fellowship,American Indian Graduate Center
Smithsonian Native American Internship,$600/week,2025-02-01,Paid internship for Native American students to work at Smithsonian museums and research centers.,internship;museum;research;culture,Native American heritage;Undergraduate or graduate student,https://www.si.edu/ofi/internship-opportunities,Smithsonian Institution
EPA Greater Research Opportunities Fellowship for Native Students,$17000/year,2025-12-01,Research fellowships for Native American students pursuing environmental science degrees.,environmental;STEM;research;fellowship;undergraduate;graduate,Native American heritage;Environmental science major;Research interest,https://www.epa.gov/grants/science-achieve-results-star-fellowship-program,EPA
NASA Tribal College Scholarship,Varies,2025-03-01,Scholarships for students attending tribal colleges pursuing STEM degrees.,STEM;tribal-college;undergraduate,Attending tribal college;STEM major,https://www.nasa.gov/stem/scholarships-and-fellowships/index.html,NASA
Department of Energy Tribal Energy Program Scholarship,$5000,2025-02-15,Scholarships for Native American students pursuing energy-related degrees.,STEM;energy;environmental;undergraduate;graduate,Native American heritage;Energy-related major,https://www.energy.gov/indianenergy/tribal-energy-program,Department of Energy
